Deal ID,Buyer-Safe Product,Quantity,Proof Status,Availability Status,Outreach Readiness
DEAL-20260712-YAHOO-053,Assorted Adults & Children ' s 1 & 2PK Goggles and Swim Caps. 3506 Packs.,988 units,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-054,world cup soccer,28 pallet,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-055,Enfamil Infant Formula,"8,640 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-056,"Space World 47 "" x 47 "" x 43 "" Play Tent. 2000 Units.",2000 Units,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-014,RE: Quote Request: 100 Black & White 18x24 Coroplast Signs,NEEDS CADEN REVIEW,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-015,Re: Quote Request: 100 Black & White 18x24 Coroplast Signs,NEEDS CADEN REVIEW,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-003,"WEST COAST *** $6,750, BOOKS TRUCKLOAD",26 pallets,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-005,"MIDWEST *** 7ft GAYLORDS, GROCERY / FOOD TRUCKLOAD",24 pallets,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-006,MIDWEST *** WLG HBA AND PERSONAL CARE TRUCKLOAD,"39,673 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-011,SOUTHEAST *** LEGO SETS & MIXED TOY TRUCKLOAD,"3,147 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-012,SOUTHEAST *** COSTCO MIXED HOUSEWARE - OUTDOOR & ELECTRONICS TRUCKLOAD,NEEDS CADEN REVIEW,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-013,SOUTHEAST *** NEW BOXED ELECTRONICS FURNITURE HOUSEWARE TRUCKLOAD,NEEDS CADEN REVIEW,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-016,WEST COAST *** MIXED ELECTRONICS / HOME GOODS BRAND NEW HPC TRUCKLOAD,NEEDS CADEN REVIEW,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-017,"TOOLS, DEWALT and others *** Manifested Lowes Truckload",NEEDS CADEN REVIEW,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-018,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-019,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-020,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-021,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-022,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-023,Re: Savora heated mug lot - $12.50/unit FOB LA We Got Your Message,NEEDS CADEN REVIEW,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-024,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-025,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-026,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-027,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-028,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-029,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-030,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-031,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-032,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-033,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-034,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-035,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-036,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-037,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-038,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-039,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-040,Automatic reply: Savora heated mug lot - $12.50/unit FOB LA,NEEDS CADEN REVIEW,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-041,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-042,Automatic reply: Savora heated mug lot - $12.50/unit FOB LA,NEEDS CADEN REVIEW,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-043,Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-044,RE: Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-045,Re: Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-046,RE: Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-047,Re: Savora heated mug lot - $12.50/unit FOB LA,NEEDS CADEN REVIEW,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-048,Re: Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-049,RE: Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-050,Re: Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-051,RE: Savora heated mug lot - $12.50/unit FOB LA,"15,120 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-052,Re: Savora heated mug lot - $12.50/unit FOB LA,NEEDS CADEN REVIEW,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-057,ARM & HAMMER LIQUID HAND SOAP TRUCKLOAD,"12,000 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-058,"WEST COAST *** Kohl ' s Truckloads, fully manifested!",NEEDS CADEN REVIEW,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-059,SOUTHEAST *** LEGO SETS & MIXED TOY TRUCKLOAD,"3,147 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-060,"MIDWEST *** TARGET HPC TRUCKLOAD, .72 cents to .90 cents per piece average",500 pieces,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-061,"WEST COAST *** $6,500, BOOKS TRUCKLOAD",26 pallets,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-062,"AMZ LPN/FC HPC, 90 pallets, LOVED",90 pallets,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-063,"MIDWEST *** 7ft GAYLORDS, GROCERY / FOOD TRUCKLOAD",24 pallets,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-064,"WEST COAST *** Costco Bulk Truckload, $5,750",24 pallets,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-065,STARBURST JELLY BEAN ORIGINALS - SINGLE SKU,450 cases,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-066,STARBURST JELLY BEAN ORIGINALS - SINGLE SKU,NEEDS CADEN REVIEW,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-067,SNICKERS MINIS SIZE MILK CHOCOLATE CANDY BARS - SINGLE SKU,NEEDS CADEN REVIEW,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
